,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
123,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes,08
124,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,19,29,22,6,yes,08
125,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes,08
126,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,19,29,22,6,yes,08
127,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes,08
128,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,29,22,6,no,08
129,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,29,22,6,no,08
130,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes,08
131,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes,08
132,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,9.5,20,27,23,7,yes,08
133,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,7,19,28,22,6,yes,08
134,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,7,20,27,23,7,yes,08
135,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,19,28,22,6,no,08
136,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes,08
137,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes,08
138,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes,08
139,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,23,31,25,7,yes,08
140,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes,08
141,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes,08
142,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes,08
143,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes,08
144,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes,08
145,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes,08
146,BMW 328i Sport Wagon,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,station wagon,7,19,29,22,6,yes,08
147,BMW 328i Sport Wagon,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,station wagon,6,19,29,22,6,no,08
148,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,9.5,20,27,23,7,yes,08
149,BMW 328xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,7,19,28,22,6,yes,08
150,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,7,20,27,23,7,yes,08
151,BMW 328xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,19,28,22,6,no,08
152,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes,08
153,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes,08
154,BMW 328xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,7,19,28,22,6,yes,08
155,BMW 328xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,7,20,27,23,7,yes,08
156,BMW 328xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,19,28,22,6,no,08
157,BMW 328xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,20,27,23,7,yes,08
158,BMW 335ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no,08
159,BMW 335ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,28,23,7,yes,08
160,BMW 335ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no,08
161,BMW 335ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,20,28,23,7,yes,08
162,BMW 335ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no,08
163,BMW 335ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,28,23,7,yes,08
164,BMW 335ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no,08
165,BMW 335ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,20,28,23,7,yes,08
166,BMW 335cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,18,27,21,6,no,08
167,BMW 335cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,19,27,22,6,no,08
168,BMW 335cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,18,27,21,6,no,08
169,BMW 335cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,19,27,22,6,no,08
170,BMW 335i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no,08
171,BMW 335i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,28,23,7,yes,08
172,BMW 335i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no,08
173,BMW 335i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,20,28,23,7,yes,08
174,BMW 335xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,18,27,21,6,no,08
175,BMW 335xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,19,27,22,6,no,08
176,BMW 335xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,18,27,21,6,no,08
177,BMW 335xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,19,27,22,6,no,08
178,BMW 528i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,7,20,30,24,7,yes,08
179,BMW 528i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,20,30,24,7,yes,08
180,BMW 528i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,20,30,24,7,yes,08
181,BMW 528i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,20,30,24,7,yes,08
182,BMW 528xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,midsize car,7,19,28,22,6,yes,08
183,BMW 528xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,7,20,27,23,7,yes,08
184,BMW 528xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,midsize car,6,19,28,22,6,no,08
185,BMW 528xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,20,27,23,7,yes,08
186,BMW 535i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,19,28,22,6,no,08
187,BMW 535i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,20,28,23,7,yes,08
188,BMW 535i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,6,19,28,22,6,no,08
189,BMW 535i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,6,20,28,23,7,yes,08
190,BMW 535xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,midsize car,6,18,27,21,6,no,08
191,BMW 535xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,19,27,22,6,no,08
192,BMW 535xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,midsize car,6,18,27,21,6,no,08
193,BMW 535xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,19,27,22,6,no,08
194,BMW 535xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no,08
195,BMW 535xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,18,26,21,6,no,08
196,BMW 535xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no,08
197,BMW 535xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,18,26,21,6,no,08
198,BMW 550i,4.8,(8 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,17,24,19,5,no,08
199,BMW 550i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,7,17,25,20,6,yes,08
200,BMW 550i,4.8,(8 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,17,24,19,5,no,08
201,BMW 550i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,17,25,20,6,no,08
202,BMW 650ci,4.8,(8 cyl),Man-6,2WD,Gasoline,CA,small car,7,17,24,19,5,no,08
203,BMW 650ci,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,17,25,20,6,yes,08
204,BMW 650ci,4.8,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,17,24,19,5,no,08
205,BMW 650ci,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,17,25,20,6,no,08
206,BMW 650ci Convertible,4.8,(8 cyl),Man-6,2WD,Gasoline,CA,small car,7,16,22,18,5,no,08
207,BMW 650ci Convertible,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,17,25,20,6,yes,08
208,BMW 650ci Convertible,4.8,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,16,22,18,5,no,08
209,BMW 650ci Convertible,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,17,25,20,6,no,08
210,BMW 750i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,7,17,25,20,6,yes,08
211,BMW 750i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,17,25,20,6,no,08
212,BMW 750li,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,7,17,25,20,6,yes,08
213,BMW 750li,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,17,25,20,6,no,08
214,BMW 760li,6.0,(12 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,14,22,17,4,no,08
215,BMW 760li,6.0,(12 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,14,22,17,4,no,08
216,BMW Alpina B7,4.4,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,15,23,18,5,no,08
217,BMW Alpina B7,4.4,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,15,23,18,5,no,08
218,BMW M5,5.0,(10 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,12,18,14,2,no,08
219,BMW M5,5.0,(10 cyl),Auto-S7,2WD,Gasoline,FA,midsize car,6,12,18,14,2,no,08
220,BMW M5,5.0,(10 cyl),Man-6,2WD,Gasoline,CA,midsize car,6,12,18,14,2,no,08
221,BMW M5,5.0,(10 cyl),Auto-S7,2WD,Gasoline,CA,midsize car,6,12,18,14,2,no,08
222,BMW M6,5.0,(10 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,18,14,2,no,08
223,BMW M6,5.0,(10 cyl),Auto-S7,2WD,Gasoline,FA,small car,6,12,18,14,2,no,08
224,BMW M6,5.0,(10 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,18,14,2,no,08
225,BMW M6,5.0,(10 cyl),Auto-S7,2WD,Gasoline,CA,small car,6,12,18,14,2,no,08
226,BMW M6 Convertible,5.0,(10 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,18,14,2,no,08
227,BMW M6 Convertible,5.0,(10 cyl),Auto-S7,2WD,Gasoline,FA,small car,6,12,19,14,2,no,08
228,BMW M6 Convertible,5.0,(10 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,18,14,2,no,08
229,BMW M6 Convertible,5.0,(10 cyl),Auto-S7,2WD,Gasoline,CA,small car,6,12,19,14,2,no,08
230,BMW X3,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,SUV,7,18,26,21,6,yes,08
