,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
0,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,SUV,7,15,20,17,4,no,08
1,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,SUV,6,15,20,17,4,no,08
2,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,SUV,7,17,22,19,5,no,08
3,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,SUV,6,17,22,19,5,no,08
4,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,midsize car,7,16,24,19,5,no,08
5,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,midsize car,6,16,24,19,5,no,08
6,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,midsize car,7,18,26,21,6,yes,08
7,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,midsize car,7,17,26,20,6,yes,08
8,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,18,27,21,6,yes,08
9,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,midsize car,6,18,26,21,6,no,08
10,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,midsize car,6,17,26,20,6,no,08
11,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,18,27,21,6,no,08
12,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no,08
13,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,small car,6,20,28,23,7,yes,08
14,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no,08
15,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,small car,6,20,28,23,7,yes,08
16,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,small car,6,10,16,12,0,no,08
17,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,11,18,13,1,no,08
18,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,small car,6,10,16,12,0,no,08
19,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,11,18,13,1,no,08
20,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,small car,6,10,16,12,0,no,08
21,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,11,17,13,1,no,08
22,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,small car,6,10,16,12,0,no,08
23,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,11,17,13,1,no,08
24,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,19,15,3,no,08
25,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,13,20,15,3,no,08
26,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,19,15,3,no,08
27,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,13,20,15,3,no,08
28,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,CA,station wagon,7,21,29,24,7,yes,08
29,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,station wagon,7,22,29,25,7,yes,08
30,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,FA,station wagon,6,21,29,24,7,yes,08
31,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,station wagon,6,22,29,25,7,yes,08
32,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,18,25,21,6,no,08
33,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,18,25,21,6,no,08
34,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,CA,small car,7,21,30,24,7,yes,08
35,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,FA,small car,6,21,30,24,7,yes,08
36,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,15,25,19,5,no,08
37,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,17,25,20,6,no,08
38,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,small car,6,18,27,21,6,no,08
39,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,15,25,19,5,no,08
40,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,17,25,20,6,no,08
41,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,small car,6,18,27,21,6,no,08
42,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,15,25,19,5,no,08
43,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no,08
44,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,15,25,19,5,no,08
45,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no,08
46,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,17,25,20,6,no,08
47,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,17,25,20,6,no,08
48,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,17,25,20,6,no,08
49,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,midsize car,6,18,27,21,6,no,08
50,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,17,25,20,6,no,08
51,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,midsize car,6,18,27,21,6,no,08
52,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,16,23,18,5,no,08
53,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,16,23,18,5,no,08
54,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no,08
55,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no,08
56,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,16,23,18,5,no,08
57,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,16,23,18,5,no,08
58,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,large car,6,16,23,18,5,no,08
59,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,large car,6,16,23,18,5,no,08
60,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,large car,6,13,19,15,3,no,08
61,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,large car,6,13,19,15,3,no,08
62,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,14,20,16,4,no,08
63,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,CA,SUV,6,14,20,16,4,no,08
64,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,12,17,14,2,no,08
65,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,SUV,6,12,17,14,2,no,08
66,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,13,19,15,3,no,08
67,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no,08
68,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,13,19,15,3,no,08
69,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no,08
70,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no,08
71,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no,08
72,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,12,19,14,2,no,08
73,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,12,19,14,2,no,08
74,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no,08
75,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,14,21,16,4,no,08
76,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no,08
77,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,14,21,16,4,no,08
78,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,13,20,15,3,no,08
79,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,14,21,16,4,no,08
80,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,13,20,15,3,no,08
81,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,14,21,16,4,no,08
82,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,19,15,3,no,08
83,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,14,21,16,4,no,08
84,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,19,15,3,no,08
85,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,14,21,16,4,no,08
86,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,14,21,16,4,no,08
87,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,14,21,16,4,no,08
88,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,14,19,16,4,no,08
89,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,14,19,16,4,no,08
90,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,13,19,15,3,no,08
91,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,13,19,15,3,no,08
92,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,26,8,yes,08
93,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,26,8,yes,08
94,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,17,24,19,5,no,08
95,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,18,24,20,6,no,08
96,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,17,24,19,5,no,08
97,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,18,24,20,6,no,08
98,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,22,29,25,7,yes,08
99,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,22,29,25,7,yes,08
100,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,17,24,19,5,no,08
101,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,18,24,20,6,no,08
102,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,17,24,19,5,no,08
103,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,18,24,20,6,no,08
104,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,9,15,11,0,no,08
105,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,10,15,11,0,no,08
106,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,9,15,11,0,no,08
107,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,6,10,15,11,0,no,08
108,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,9,15,11,0,no,08
109,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,9,15,11,0,no,08
110,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,10,17,12,0,no,08
111,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,10,17,12,0,no,08
112,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,10,17,13,1,no,08
113,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,10,17,13,1,no,08
114,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,10,17,12,0,no,08
115,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,10,17,12,0,no,08
116,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes,08
117,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,23,31,25,7,yes,08
118,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes,08
119,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes,08
120,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes,08
121,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes,08
122,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes,08
